id,network_type,low_count_threshold,cpm_transform,log2_transform,voom_transform,quantile_normalize,batch_adjustment,similarity_measure,adj_power,topological_overlap,merge_cor,num_modules_before,num_modules,num_genes,med_module_size,go_total_enriched,unique_go_terms,num_go_enriched_modules,mean_go_pval,kegg_total_enriched,unique_kegg_terms,num_kegg_enriched_modules,mean_kegg_pval,total_de,total_edge_weight,irefindex_edge_weight,cpdb_total_enriched,unique_cpdb_terms,num_cpdb_enriched_modules,mean_cpdb_pval
154,signed,1,FALSE,FALSE,FALSE,FALSE,combat,spearman,14,FALSE,1,799,799,16206,16,836,656,62,0.0149,109,69,37,0.0157,42248,18104973.10,1481.27,332,202,56,0.0107
155,signed,1,FALSE,FALSE,FALSE,FALSE,combat,cor-dist,1,FALSE,1,779,779,16206,16,1467,1039,74,0.0149,86,65,41,0.0179,42248,174809325.35,9447.63,382,213,54,0.0137
156,signed,1,FALSE,FALSE,FALSE,FALSE,combat,cor-dist,2,FALSE,1,800,800,16206,16,1385,977,89,0.0157,83,66,39,0.015,42248,125029803.14,6888.36,361,198,54,0.0117
157,signed,1,FALSE,FALSE,FALSE,FALSE,combat,cor-dist,3,FALSE,1,789,789,16206,17,1226,790,77,0.0157,85,63,35,0.0184,42248,92769882.19,5151.69,318,144,46,0.0091
158,signed,1,FALSE,FALSE,FALSE,FALSE,combat,cor-dist,4,FALSE,1,782,782,16206,16,1189,814,71,0.0143,82,52,35,0.0151,42248,70233480.00,3914.84,365,205,50,0.0116
159,signed,1,FALSE,FALSE,FALSE,FALSE,combat,cor-dist,5,FALSE,1,817,817,16206,16,1474,971,85,0.0151,94,63,41,0.0194,42248,53850139.15,3008.58,419,239,63,0.0125
15,signed,1,FALSE,FALSE,FALSE,FALSE,none,bicor,1,FALSE,1,793,793,16203,16,892,718,56,0.0101,79,59,39,0.0172,42248,183964876.98,10379.02,333,225,44,0.0132
160,signed,1,FALSE,FALSE,FALSE,FALSE,combat,cor-dist,6,FALSE,1,784,784,16206,17,1001,629,66,0.0126,72,54,39,0.0174,42248,41672954.08,2332.52,346,220,54,0.0134
161,signed,1,FALSE,FALSE,FALSE,FALSE,combat,cor-dist,7,FALSE,1,796,796,16206,16,931,630,71,0.014,76,54,44,0.0185,42248,32495532.41,1821.84,331,198,55,0.0108
162,signed,1,FALSE,FALSE,FALSE,FALSE,combat,cor-dist,8,FALSE,1,799,799,16206,16,992,674,80,0.0138,92,64,47,0.0186,42248,25509373.36,1432.30,396,237,51,0.0134
163,signed,1,FALSE,FALSE,FALSE,FALSE,combat,cor-dist,9,FALSE,1,777,777,16206,16,1413,873,83,0.0164,71,52,41,0.0163,42248,20148025.58,1132.76,362,200,55,0.0114
164,signed,1,FALSE,FALSE,FALSE,FALSE,combat,cor-dist,10,FALSE,1,797,797,16206,16,1319,921,90,0.0137,103,66,42,0.0199,42248,16004370.06,900.76,411,225,54,0.0164
165,signed,1,FALSE,FALSE,FALSE,FALSE,combat,cor-dist,11,FALSE,1,789,789,16206,16,1185,756,85,0.0161,79,57,41,0.016,42248,12781106.16,719.91,357,206,53,0.0115
166,signed,1,FALSE,FALSE,FALSE,FALSE,combat,cor-dist,12,FALSE,1,796,796,16206,16,1198,767,95,0.0143,68,54,36,0.0204,42248,10258681.34,578.09,352,197,52,0.0121
167,signed,1,FALSE,FALSE,FALSE,FALSE,combat,cor-dist,13,FALSE,1,774,774,16206,16,1307,916,75,0.0163,69,51,37,0.0149,42248,8273516.18,466.26,312,179,49,0.0137
168,signed,1,FALSE,FALSE,FALSE,FALSE,combat,cor-dist,14,FALSE,1,773,773,16206,16,1070,726,72,0.0136,56,46,38,0.0142,42248,6702801.41,377.62,325,204,49,0.013
169,signed,1,FALSE,FALSE,FALSE,TRUE,none,cor,1,FALSE,1,756,756,16206,17,722,510,56,0.0105,83,68,38,0.0233,42248,132034067.88,7009.82,376,229,44,0.0125
16,signed,1,FALSE,FALSE,FALSE,FALSE,none,bicor,2,FALSE,1,800,800,16203,16,884,734,54,0.0094,68,59,38,0.018,42248,137700711.20,8339.42,331,221,47,0.0126
170,signed,1,FALSE,FALSE,FALSE,TRUE,none,cor,2,FALSE,1,795,795,16206,16,801,515,55,0.0126,91,70,37,0.0214,42248,82147354.16,4622.10,375,195,45,0.0104
171,signed,1,FALSE,FALSE,FALSE,TRUE,none,cor,3,FALSE,1,784,784,16206,16,790,521,65,0.0116,102,74,36,0.0198,42248,57473096.06,3415.41,383,258,50,0.014
172,signed,1,FALSE,FALSE,FALSE,TRUE,none,cor,4,FALSE,1,786,786,16206,17,871,593,59,0.0107,107,75,33,0.0179,42248,43121107.88,2685.18,381,248,48,0.0138
173,signed,1,FALSE,FALSE,FALSE,TRUE,none,cor,5,FALSE,1,792,792,16206,16,782,517,58,0.0109,115,79,46,0.0228,42248,33848503.52,2193.84,324,195,40,0.0123
174,signed,1,FALSE,FALSE,FALSE,TRUE,none,cor,6,FALSE,1,785,785,16206,17,835,564,57,0.0122,79,54,40,0.016,42248,27418131.80,1840.17,330,178,44,0.0099
175,signed,1,FALSE,FALSE,FALSE,TRUE,none,cor,7,FALSE,1,800,800,16206,16,807,526,47,0.0111,79,53,38,0.0161,42248,22730671.67,1573.58,316,186,42,0.0112
176,signed,1,FALSE,FALSE,FALSE,TRUE,none,cor,8,FALSE,1,810,810,16206,16,869,600,52,0.0101,100,73,35,0.0192,42248,19185746.02,1365.81,285,186,42,0.0092
177,signed,1,FALSE,FALSE,FALSE,TRUE,none,cor,9,FALSE,1,785,785,16206,16,912,641,59,0.0128,100,73,39,0.0225,42248,16428156.26,1199.69,314,196,40,0.0087
178,signed,1,FALSE,FALSE,FALSE,TRUE,none,cor,10,FALSE,1,812,812,16206,16,1012,722,68,0.0131,91,68,40,0.0195,42248,14234433.54,1064.18,321,211,46,0.0081
179,signed,1,FALSE,FALSE,FALSE,TRUE,none,cor,11,FALSE,1,793,793,16206,16,912,663,59,0.0122,84,65,32,0.0159,42248,12457059.33,951.80,373,238,48,0.0116
17,signed,1,FALSE,FALSE,FALSE,FALSE,none,bicor,3,FALSE,1,783,783,16203,16,831,611,57,0.0107,70,59,35,0.0161,42248,107887446.78,6925.34,382,225,49,0.0125
180,signed,1,FALSE,FALSE,FALSE,TRUE,none,cor,12,FALSE,1,780,780,16206,16,928,649,65,0.0118,113,82,45,0.0212,42248,10994842.23,857.33,339,183,46,0.0082
181,signed,1,FALSE,FALSE,FALSE,TRUE,none,cor,13,FALSE,1,803,803,16206,16,957,697,64,0.0127,76,54,40,0.0156,42248,9776164.87,776.97,326,180,43,0.0105
182,signed,1,FALSE,FALSE,FALSE,TRUE,none,cor,14,FALSE,1,808,808,16206,16,1044,743,64,0.0135,71,47,37,0.0168,42248,8749007.24,707.95,308,194,38,0.0093
183,signed,1,FALSE,FALSE,FALSE,TRUE,none,bicor,1,FALSE,1,809,809,16206,16,1019,750,56,0.0131,96,73,39,0.0214,42248,132881716.88,7025.82,306,180,36,0.0105
184,signed,1,FALSE,FALSE,FALSE,TRUE,none,bicor,2,FALSE,1,779,779,16206,16,1048,787,56,0.0139,84,59,41,0.0179,42248,79660130.57,4429.90,349,206,44,0.0114
185,signed,1,FALSE,FALSE,FALSE,TRUE,none,bicor,3,FALSE,1,785,785,16206,16,963,760,43,0.0128,64,48,35,0.0171,42248,52920512.68,3107.00,306,180,36,0.0099
186,signed,1,FALSE,FALSE,FALSE,TRUE,none,bicor,4,FALSE,1,808,808,16206,16,954,753,44,0.013,48,37,25,0.0142,42248,37582192.73,2324.12,296,171,36,0.0098
187,signed,1,FALSE,FALSE,FALSE,TRUE,none,bicor,5,FALSE,1,805,805,16206,16,1002,728,49,0.0136,75,59,38,0.0162,42248,27953480.20,1814.49,346,181,42,0.0098
188,signed,1,FALSE,FALSE,FALSE,TRUE,none,bicor,6,FALSE,1,814,814,16206,17,1090,775,54,0.0129,61,44,38,0.0138,42248,21509398.94,1460.56,353,199,43,0.0093
189,signed,1,FALSE,FALSE,FALSE,TRUE,none,bicor,7,FALSE,1,775,775,16206,17,855,585,43,0.0127,55,40,36,0.017,42248,16987597.10,1203.03,308,157,38,0.0092
