id,network_type,low_count_threshold,cpm_transform,log2_transform,voom_transform,quantile_normalize,batch_adjustment,similarity_measure,adj_power,topological_overlap,merge_cor,num_modules_before,num_modules,num_genes,med_module_size,go_total_enriched,unique_go_terms,num_go_enriched_modules,mean_go_pval,kegg_total_enriched,unique_kegg_terms,num_kegg_enriched_modules,mean_kegg_pval,total_de,leishcyc_total_enriched,unique_leishcyc_terms,num_leishcyc_enriched_modules,mean_leishcyc_pval
764,signed,1,TRUE,FALSE,FALSE,FALSE,limma,spearman,8,FALSE,1,164,164,3183,15,58,30,6,0.0253,7,7,5,0.0141,2798,0,0,0,NaN
765,signed,1,TRUE,FALSE,FALSE,FALSE,limma,spearman,9,FALSE,1,168,168,3183,15,75,52,7,0.016,8,7,6,0.0135,2798,0,0,0,NaN
766,signed,1,TRUE,FALSE,FALSE,FALSE,limma,spearman,10,FALSE,1,162,162,3183,15,62,38,7,0.021,9,8,7,0.0187,2798,0,0,0,NaN
767,signed,1,TRUE,FALSE,FALSE,FALSE,limma,spearman,11,FALSE,1,159,159,3183,16,56,32,5,0.0201,10,8,8,0.0205,2798,0,0,0,NaN
768,signed,1,TRUE,FALSE,FALSE,FALSE,limma,spearman,12,FALSE,1,149,149,3183,16,58,34,7,0.0196,11,9,9,0.0192,2798,0,0,0,NaN
769,signed,1,TRUE,FALSE,FALSE,FALSE,limma,spearman,13,FALSE,1,155,155,3183,16,83,61,8,0.0197,9,9,7,0.0147,2798,0,0,0,NaN
76,signed,1,FALSE,FALSE,FALSE,FALSE,limma,bicor,6,FALSE,1,168,168,3183,15,120,52,6,0.0038,3,1,3,0.0103,2798,1,1,1,0.0259
770,signed,1,TRUE,FALSE,FALSE,FALSE,limma,spearman,14,FALSE,1,169,169,3183,15,58,29,6,0.0235,9,8,7,0.0143,2798,0,0,0,NaN
771,signed,1,TRUE,FALSE,FALSE,FALSE,limma,cor-dist,1,FALSE,1,159,159,3183,17,81,38,4,0.0095,2,2,2,0.0066,2798,0,0,0,NaN
772,signed,1,TRUE,FALSE,FALSE,FALSE,limma,cor-dist,2,FALSE,1,161,161,3183,15,71,36,5,0.0136,3,3,3,0.0294,2798,0,0,0,NaN
773,signed,1,TRUE,FALSE,FALSE,FALSE,limma,cor-dist,3,FALSE,1,156,156,3183,15,101,38,7,0.0141,2,2,2,0.0076,2798,0,0,0,NaN
774,signed,1,TRUE,FALSE,FALSE,FALSE,limma,cor-dist,4,FALSE,1,149,149,3183,16,90,33,8,0.0208,2,2,2,0.024,2798,0,0,0,NaN
775,signed,1,TRUE,FALSE,FALSE,FALSE,limma,cor-dist,5,FALSE,1,137,137,3183,18,114,51,6,0.012,7,5,7,0.0203,2798,0,0,0,NaN
776,signed,1,TRUE,FALSE,FALSE,FALSE,limma,cor-dist,6,FALSE,1,147,147,3183,17,81,40,5,0.0128,6,5,6,0.0263,2798,0,0,0,NaN
777,signed,1,TRUE,FALSE,FALSE,FALSE,limma,cor-dist,7,FALSE,1,145,145,3183,17,50,37,5,0.0206,4,4,4,0.0385,2798,0,0,0,NaN
778,signed,1,TRUE,FALSE,FALSE,FALSE,limma,cor-dist,8,FALSE,1,143,143,3183,17,63,48,4,0.0097,4,2,4,0.0256,2798,1,1,1,0.0466
779,signed,1,TRUE,FALSE,FALSE,FALSE,limma,cor-dist,9,FALSE,1,148,148,3183,16,44,44,1,0.0197,3,3,3,0.0188,2798,1,1,1,0.0168
77,signed,1,FALSE,FALSE,FALSE,FALSE,limma,bicor,7,FALSE,1,160,160,3183,15.5,121,53,6,0.0044,4,2,4,0.013,2798,1,1,1,0.0259
780,signed,1,TRUE,FALSE,FALSE,FALSE,limma,cor-dist,10,FALSE,1,151,151,3183,16,123,67,9,0.0092,6,5,6,0.0121,2798,0,0,0,NaN
781,signed,1,TRUE,FALSE,FALSE,FALSE,limma,cor-dist,11,FALSE,1,146,146,3183,16,77,42,7,0.0119,3,2,3,0.0257,2798,0,0,0,NaN
782,signed,1,TRUE,FALSE,FALSE,FALSE,limma,cor-dist,12,FALSE,1,157,157,3183,16,133,76,9,0.0137,4,3,4,0.0273,2798,1,1,1,0.0165
783,signed,1,TRUE,FALSE,FALSE,FALSE,limma,cor-dist,13,FALSE,1,149,149,3183,16,93,46,4,0.012,3,3,3,0.0261,2798,0,0,0,NaN
784,signed,1,TRUE,FALSE,FALSE,FALSE,limma,cor-dist,14,FALSE,1,152,152,3183,17,125,38,7,0.009,5,3,5,0.0164,2798,2,2,1,0.009
785,signed,1,TRUE,FALSE,FALSE,FALSE,combat,cor,1,FALSE,1,150,150,3183,16,99,66,5,0.0029,5,4,5,0.015,2798,1,1,1,0.0404
786,signed,1,TRUE,FALSE,FALSE,FALSE,combat,cor,2,FALSE,1,159,159,3183,17,99,66,6,0.0031,5,4,5,0.0107,2798,1,1,1,0.033
787,signed,1,TRUE,FALSE,FALSE,FALSE,combat,cor,3,FALSE,1,147,147,3183,18,113,71,7,0.0077,6,5,6,0.014,2798,2,2,2,0.025
788,signed,1,TRUE,FALSE,FALSE,FALSE,combat,cor,4,FALSE,1,148,148,3183,18,131,89,8,0.0119,6,5,5,0.0165,2798,0,0,0,NaN
